188,NVIDIA/cutlass,8702,https://github.com/NVIDIA/cutlass.git,https://github.com/NVIDIA/cutlass,cpp,CUDA Templates and Python DSLs for High-Performance Linear Algebra,targets,autoql_exit_1,autoql_exit_1
192,Tencent/libco,8623,https://github.com/Tencent/libco.git,https://github.com/Tencent/libco,cpp,libco is a coroutine library which is widely used in wechat  back-end service. It has been running on tens of thousands of machines since 2013.,targets,autoql_exit_1,autoql_exit_1
195,cemu-project/Cemu,8592,https://github.com/cemu-project/Cemu.git,https://github.com/cemu-project/Cemu,cpp,Cemu - Wii U emulator,targets,autoql_exit_1,autoql_exit_1
196,prusa3d/PrusaSlicer,8588,https://github.com/prusa3d/PrusaSlicer.git,https://github.com/prusa3d/PrusaSlicer,cpp,"G-code generator for 3D printers (RepRap, Makerbot, Ultimaker etc.)",targets,autoql_exit_1,autoql_exit_1
209,valhalla/valhalla,5133,https://github.com/valhalla/valhalla.git,https://github.com/valhalla/valhalla,cpp,Open Source Routing Engine for OpenStreetMap,targets,autoql_exit_1,autoql_exit_1
223,XRPLF/rippled,5017,https://github.com/XRPLF/rippled.git,https://github.com/XRPLF/rippled,cpp,Decentralized cryptocurrency blockchain daemon implementing the XRP Ledger protocol in C++,targets,autoql_exit_1,autoql_exit_1
224,wangyu-/UDPspeeder,5015,https://github.com/wangyu-/UDPspeeder.git,https://github.com/wangyu-/UDPspeeder,cpp,"A Tunnel which Improves your Network Quality on a High-latency Lossy Link by using Forward Error Correction, possible for All Traffics(TCP/UDP/ICMP)",targets,autoql_exit_1,autoql_exit_1
231,supertuxkart/stk-code,4945,https://github.com/supertuxkart/stk-code.git,https://github.com/supertuxkart/stk-code,cpp,The code base of SuperTuxKart,targets,autoql_exit_1,autoql_exit_1
246,wjakob/nanogui,4815,https://github.com/wjakob/nanogui.git,https://github.com/wjakob/nanogui,cpp,Minimalistic GUI library for OpenGL,targets,autoql_exit_1,autoql_exit_1
248,arrayfire/arrayfire,4812,https://github.com/arrayfire/arrayfire.git,https://github.com/arrayfire/arrayfire,cpp,ArrayFire: a general purpose GPU library.,targets,autoql_exit_1,autoql_exit_1
249,MegEngine/MegEngine,4804,https://github.com/MegEngine/MegEngine.git,https://github.com/MegEngine/MegEngine,cpp,MegEngine 是一个快速、可拓展、易于使用且支持自动求导的深度学习框架,targets,autoql_exit_1,autoql_exit_1
259,boostorg/beast,4679,https://github.com/boostorg/beast.git,https://github.com/boostorg/beast,cpp,HTTP and WebSocket built on Boost.Asio in C++11,targets,autoql_exit_1,autoql_exit_1
265,dfranx/SHADERed,4644,https://github.com/dfranx/SHADERed.git,https://github.com/dfranx/SHADERed,cpp,"Lightweight, cross-platform & full-featured shader IDE",targets,autoql_exit_1,autoql_exit_1
278,sylar-yin/sylar,4561,https://github.com/sylar-yin/sylar.git,https://github.com/sylar-yin/sylar,cpp,"C++高性能分布式服务器框架,webserver,websocket server,自定义tcp_server（包含日志模块，配置模块，线程模块，协程模块，协程调度模块，io协程调度模块，hook模块，socket模块，bytearray序列化，http模块，TcpServer模块，Websocket模块，Https模块等, Smtp邮件模块, MySQL, SQLite3, ORM,Redis,Zookeeper)",targets,autoql_exit_1,autoql_exit_1
280,USCiLab/cereal,4540,https://github.com/USCiLab/cereal.git,https://github.com/USCiLab/cereal,cpp,A C++11 library for serialization,targets,autoql_exit_1,autoql_exit_1
284,Chlumsky/msdfgen,4512,https://github.com/Chlumsky/msdfgen.git,https://github.com/Chlumsky/msdfgen,cpp,Multi-channel signed distance field generator,targets,autoql_exit_1,autoql_exit_1
288,jmpews/Dobby,4482,https://github.com/jmpews/Dobby.git,https://github.com/jmpews/Dobby,cpp,"a lightweight, multi-platform, multi-architecture hook framework.",targets,autoql_exit_1,autoql_exit_1
296,sorayuki/obs-multi-rtmp,4422,https://github.com/sorayuki/obs-multi-rtmp.git,https://github.com/sorayuki/obs-multi-rtmp,cpp,OBS複数サイト同時配信プラグイン,targets,autoql_exit_1,autoql_exit_1
299,andreasfertig/cppinsights,4403,https://github.com/andreasfertig/cppinsights.git,https://github.com/andreasfertig/cppinsights,cpp,C++ Insights - See your source code with the eyes of a compiler,targets,autoql_exit_1,autoql_exit_1
303,ARM-software/ComputeLibrary,3068,https://github.com/ARM-software/ComputeLibrary.git,https://github.com/ARM-software/ComputeLibrary,cpp,The Compute Library is a set of computer vision and machine learning functions optimised for both Arm CPUs and GPUs using SIMD technologies.,targets,autoql_exit_1,autoql_exit_1
306,shogun-toolbox/shogun,3054,https://github.com/shogun-toolbox/shogun.git,https://github.com/shogun-toolbox/shogun,cpp,Shōgun,targets,clone_failed,clone_failed
315,heavyai/heavydb,3032,https://github.com/heavyai/heavydb.git,https://github.com/heavyai/heavydb,cpp,HeavyDB (formerly MapD/OmniSciDB),targets,autoql_exit_1,autoql_exit_1
316,bloomberg/blazingmq,3030,https://github.com/bloomberg/blazingmq.git,https://github.com/bloomberg/blazingmq,cpp,A modern high-performance open source message queuing system,targets,autoql_exit_1,autoql_exit_1
